judge,artist,vote
E34,九连真人,1
E34,余佩真,0
E34,傻子与白痴,2
E34,刘思鉴,0
E34,右侧合流,0
E34,吴林峰,0
E34,告五人,4
E34,唐猫 SUGARCAT,0
E34,太一,0
E34,张洢豪,0
E34,持修,1
E34,桃子假象,0
E34,橘子海,2
E34,焦迈奇,1
E34,百合花,1
E34,短裤里的诗歌,0
E34,莫宰羊,0
E34,钱正昊,0
E34,陈家麟Whle,0
E34,9m88,4
E35,AR 刘夫阳,0
E35,Daytrip Dormancy,0
E35,Dru Chen,0
E35,Dusty Bottle,5
E35,SoulFa,0
E35,SOUTH ACID MIMI,0
E35,THE BOOTLEGS 靴腿,0
E35,イルカポリス 海豚刑警,0
E35,威神V WayV,0
E35,九连真人,3
E35,余佩真,0
E35,傻子与白痴,2
E35,刘思鉴,0
E35,右侧合流,0
E35,吴林峰,5
E35,告五人,2
E35,唐猫 SUGARCAT,0
E35,太一,0
E35,张洢豪,0
E35,持修,0
E35,桃子假象,4
E35,橘子海,2
E35,焦迈奇,2
E35,百合花,0
E35,短裤里的诗歌,0
E35,莫宰羊,0
E35,钱正昊,0
E35,陈家麟Whle,2
E35,9m88,2
E36,AR 刘夫阳,0
E36,Daytrip Dormancy,3
E36,Dru Chen,3
E36,Dusty Bottle,0
E36,SoulFa,3
E36,SOUTH ACID MIMI,0
E36,THE BOOTLEGS 靴腿,3
E36,イルカポリス 海豚刑警,2
E36,威神V WayV,0
E36,九连真人,4
E36,余佩真,1
E36,傻子与白痴,1
E36,刘思鉴,1
E36,右侧合流,2
E36,吴林峰,0
E36,告五人,1
E36,唐猫 SUGARCAT,0
E36,太一,0
E36,张洢豪,0
E36,持修,0
E36,桃子假象,1
E36,橘子海,1
E36,焦迈奇,0
E36,百合花,2
E36,短裤里的诗歌,2
E36,莫宰羊,0
E36,钱正昊,0
E36,陈家麟Whle,1
E36,9m88,0
E37,AR 刘夫阳,0
E37,Daytrip Dormancy,0
E37,Dru Chen,0
E37,Dusty Bottle,0
E37,SoulFa,0
E37,SOUTH ACID MIMI,0
E37,THE BOOTLEGS 靴腿,0
E37,イルカポリス 海豚刑警,1
E37,威神V WayV,0
E37,九连真人,0
E37,余佩真,0
E37,傻子与白痴,1
E37,刘思鉴,1
E37,右侧合流,0
E37,吴林峰,0
E37,告五人,1
E37,唐猫 SUGARCAT,0
E37,太一,0
E37,张洢豪,0
E37,持修,0
E37,桃子假象,0
E37,橘子海,0
E37,焦迈奇,0
E37,百合花,0
E37,短裤里的诗歌,0
E37,莫宰羊,1
E37,钱正昊,0
E37,陈家麟Whle,1
E37,9m88,1
E38,AR 刘夫阳,8
E38,Daytrip Dormancy,0
E38,Dru Chen,0
E38,Dusty Bottle,0
E38,SoulFa,0
E38,SOUTH ACID MIMI,0
E38,THE BOOTLEGS 靴腿,0
E38,イルカポリス 海豚刑警,0
E38,威神V WayV,0
E38,九连真人,0
E38,余佩真,6
E38,傻子与白痴,0
E38,刘思鉴,0
E38,右侧合流,0
E38,吴林峰,0
E38,告五人,0
E38,唐猫 SUGARCAT,0
E38,太一,0
E38,张洢豪,0
E38,持修,0
E38,桃子假象,0
E38,橘子海,0
E38,焦迈奇,0
E38,百合花,0
E38,短裤里的诗歌,0
E38,莫宰羊,0
E38,钱正昊,0
E38,陈家麟Whle,0
E38,9m88,0
E39,AR 刘夫阳,0
E39,Daytrip Dormancy,0
E39,Dru Chen,0
E39,Dusty Bottle,0
E39,SoulFa,2
E39,SOUTH ACID MIMI,0
E39,THE BOOTLEGS 靴腿,0
E39,イルカポリス 海豚刑警,2
E39,威神V WayV,0
E39,九连真人,3
E39,余佩真,0
E39,傻子与白痴,4
E39,刘思鉴,2
E39,右侧合流,0
E39,吴林峰,0
E39,告五人,4
