judge,artist,album,vote
E5,梁静茹,我好吗? - 太阳如常升起,1
E5,家家,我想要的,2
E5,短裤里的诗歌,我还喜欢你,0
E5,许廷铿,拾,0
E5,鬼卞,无间,0
E5,刘柏辛,无限意识Meta Ego,0
E5,鲁向卉,时间/木马,0
E5,AR刘夫阳,校园寓言故事,0
E5,熊仔/豹子胆,梦想成真,0
E5,橘子海,浪潮上岸,2
E5,苏紫旭,混乱之子,0
E5,脏手指,滥情三部曲,0
E5,百合花,烧金蕉,3
E5,王若琳,爱的呼唤,3
E5,郑宜农,给天王星,1
E5,邱比,至繁,1
E5,发光曲线,荒野星,0
E5,魏如萱,藏着并不等于遗忘,3
E5,伍佰&China Blue,让水倒流,2
E5,杨乃文,越美丽越看不见,2
E5,郁可唯,路过人间,1
E5,群星,过春天 电影原声碟,3
E5,懒惰致富集团,飞艇计划,0
E5,陈蕾,1029,0
E6,佛跳墙,BJ肆,0
E6,Robynn & Kendy,Curations,0
E6,吉克隽逸,Global Citizen世界公民Ⅲ,0
E6,陈珊妮,Juvenile A,0
E6,缺省,Life In A Vacuum,0
E6,小尘埃,Little By Little,0
E6,邓小巧,No Coincidence,0
E6,Gong Gong Gong 工工工,Phantom Rhythm 幽灵节奏,0
E6,威神V WayV,Take Off (The 1st Mini Album),0
E6,谢安琪/麦浚龙,The Album And The Rest Of It,0
E6,粉红A,为艺术牺牲,0
E6,丢莱卡,健忘的平原,3
E6,全家福合唱团,全家福II,0
E6,养鸡,养鸡的梦境,3
E6,小老虎,北京吗,0
E6,张雄关,危险地带,0
E6,宫阁,即将上映,0
E6,傻子与白痴,夜长梦少,2
E6,Howie Lee,天地不仁,1
E6,吴青峰,太空人,0
E6,许哲佩,失物之城,0
E6,丁世光,实况电影,0
E6,周华健,少年,0
E6,莫宰羊,幻想曲,0
E6,倒车入库,庸人自扰,0
E6,Ice Paper,成语接龙,0
E6,梁静茹,我好吗? - 太阳如常升起,0
E6,家家,我想要的,0
E6,短裤里的诗歌,我还喜欢你,5
E6,许廷铿,拾,0
E6,鬼卞,无间,0
E6,刘柏辛,无限意识Meta Ego,0
E6,鲁向卉,时间/木马,0
E6,AR刘夫阳,校园寓言故事,0
E6,熊仔/豹子胆,梦想成真,0
E6,橘子海,浪潮上岸,2
E6,苏紫旭,混乱之子,0
E6,脏手指,滥情三部曲,3
E6,百合花,烧金蕉,1
E6,王若琳,爱的呼唤,2
E6,郑宜农,给天王星,0
E6,邱比,至繁,0
E6,发光曲线,荒野星,0
E6,魏如萱,藏着并不等于遗忘,2
E6,伍佰&China Blue,让水倒流,0
E6,杨乃文,越美丽越看不见,0
E6,郁可唯,路过人间,0
E6,群星,过春天 电影原声碟,5
E6,懒惰致富集团,飞艇计划,0
E6,陈蕾,1029,0
