judge,artist,song,vote
D2,鬼卞,佳人,0
D2,魏如萱,Ophelia,0
D2,魏如萱,彼个所在,0
D2,魏如萱/岑宁儿,星期三或礼拜三,0
D2,鹿晗,夜的尽头,0
D2,鲁向卉,嘲笑孤单,0
D2,麦浚龙/黎明,忘记和记,0
D2,黎忘年,宝石,0
D2,3unshine,巴拉,0
D3,王嘉尔/Higher Brothers/AUGUST 08/GoldLink,Tequila Sunrise,0
D3,9m88,爱情雨,0
D3,9m88/Leo王,最高品质静悄悄(Airplane Mode),0
D3,Atta Girl,九月,0
D3,deca joins,雾,0
D3,Dusty Bottle,You Don't Know Me,0
D3,Fill Lake,"Be not afeard, the isle is full of noises",0
D3,Happy Birdy,大球滚动,0
D3,Ice Paper,鸦雀无声,1
D3,J.Sheon,输情歌,0
D3,LMF/Matt Force/Dough Boy/Future/Seanie P/Tommy/KZ/Akiko/JB/黄祸YP/Heyo,W.T.F.H.K,0
D3,Matt Force,告别,0
D3,Nerve Passeger,中环留念,0
D3,per se,庆祝无意义,0
D3,SoulFa,R.U.M.O.R.S,0
D3,イルカポリス 海豚刑警,安平之光,0
D3,丁世光,你的家,0
D3,丁世光,月食,0
D3,丁世光/叶喜儿,低潮期,3
D3,上海彩虹室内合唱团,我有一个装满星星的口袋,0
D3,不优雅,停在空中,0
D3,尹吾,我承认,0
D3,九连真人,莫欺少年穷,0
D3,五条人,匈奴王,0
D3,伍佰&China Blue,让水倒流,0
D3,佛跳墙,关你屁事,1
D3,佛跳墙,无名氏,0
D3,傻子与白痴,5:10a.m.,0
D3,傻子与白痴,夜长梦少,0
D3,傻子与白痴,象牙舟,0
D3,全家福合唱团,感恩节,0
D3,全家福合唱团,爱上福利社,1
D3,凹与山/李漫,一切好事都会发生,3
D3,刘柏辛,Manta,1
D3,卢凯彤,光,0
D3,卢凯彤,光之外,0
D3,卢凯彤,圆谎,0
D3,发光曲线,无限引擎,3
D3,发光曲线,灰烬霓虹,5
D3,发光曲线,荒野星,1
D3,右侧合流,躲猫猫,0
D3,吉克隽逸,Looking for Trouble,0
D3,吴建京,灰沙燕,0
D3,吴林峰,下一束光,0
D3,吴青峰,Outsider,1
D3,吴青峰,水仙花之死,0
D3,告五人,爱人错过,3
D3,周华健,少年,0
D3,唐汉霄/周深,末日飞船,0
D3,好妹妹,云野,0
D3,安溥 anpu,ZOEA,0
D3,宋念宇,默念你,0
D3,宝石Gem,野狼Disco,0
D3,宫阁,夕阳·日落,0
D3,家家/方大同,在家里,0
D3,巧克力工厂Chocolate Factory,大肚子飞行员,0
D3,张艺兴,honey,0
D3,方皓玟,人话,0
D3,方皓玟,愿,0
D3,无妄合作社,在围城时与你失散,0
D3,曾轶可,雌雄同体,0
D3,曾轶可,水的记忆,0
D3,李亮辰,渡河,0
D3,李靖筠,第三颗行星,0
D3,杨乃文,在爱和你之间,0
D3,杨乃文/许钧,不再,1
D3,林二汶,最后的信仰,0
D3,林俊杰,将故事写成我们,0
D3,林宥嘉,别让我走远,0
D3,梁静茹,太阳如常升起 I,0
D3,梁静茹,我好吗,0
D3,椅子乐团,城市潜水,0
D3,橘子海,夏日漱石,1
D3,法兹乐队FAZI/海朋森,你把我的脸庞转向明天,0
D3,海朋森,草莓,0
D3,灭火器,双城记,0
D3,焦迈奇,我的名字,0
D3,焦迈奇,松鼠,0
D3,爱是唯一,Darling,0
D3,爱是唯一,Sunshine,0
D3,王若琳,我只在乎你,0
D3,王诗安,太空农场,0
D3,白纸扇,东莞,0
D3,百合花,一枝草,0
D3,祁紫檀,这世上美的事物总让人心碎,0
D3,粉红A,香港香港,0
D3,自闭电台,寻找小羊,0
D3,脏手指,滥情三部曲,0
D3,苏紫旭&The Paramecia,爱的匕首,0
D3,苏紫旭&The Paramecia,当年星,0
D3,苏紫旭&The Paramecia,混乱之子,0
D3,茄子蛋,孤独的人我们一起出发,0
D3,莫宰羊,健康快乐,3
D3,落日飞车,我是一只鱼,0
D3,落日飞车,Vanilla,0
D3,蔡旻佑/艾怡良,伎俩,0
D3,袁娅维,我爱,3
D3,袁娅维,来,0
D3,裘德,颁奖的时候我要缺席,0
D3,许廷铿,十,0
D3,谢安琪,773312,0
D3,路嘉欣,落落大方,0
